token	corpus size	all contexts size	frequency	co-frequency	specificity
Yapılan	19737	16241	3	3	0.25
korur.	19737	16241	3	3	0.25
Aile	19737	16241	3	3	0.25
ortadan	19737	16241	3	3	0.25
doğal	19737	16241	3	3	0.25
krizini	19737	16241	3	3	0.25
Günther	19737	16241	3	3	0.25
yıldan	19737	16241	3	3	0.25
sevdiği	19737	16241	3	3	0.25
birlikte,	19737	16241	3	3	0.25
yöntemlerle	19737	16241	3	3	0.25
yıllarda	19737	16241	3	3	0.25
CTO	19737	16241	3	3	0.25
tıkalı	19737	16241	3	3	0.25
balon	19737	16241	3	3	0.25
düşük	19737	16241	3	3	0.25
yaşlarda	19737	16241	3	3	0.25
yöntemleri	19737	16241	3	3	0.25
çıkmaktadır.	19737	16241	3	3	0.25
ülkemizde	19737	16241	3	3	0.25
dünya	19737	16241	3	3	0.25
genelinde	19737	16241	3	3	0.25
yerine	19737	16241	3	3	0.25
göstermek	19737	16241	3	3	0.25
Yeni	19737	16241	3	3	0.25
kaslarının	19737	16241	3	3	0.25
haricinde	19737	16241	3	3	0.25
mevcuttur.	19737	16241	3	3	0.25
çıkmasında	19737	16241	3	3	0.25
tütün	19737	16241	3	3	0.25
yolları	19737	16241	3	3	0.25
değişiklik	19737	16241	3	3	0.25
kadınlar	19737	16241	3	3	0.25
etkileyen	19737	16241	3	3	0.25
doymuş	19737	16241	3	3	0.25
Sağlıksız	19737	16241	3	3	0.25
sigara,	19737	16241	3	3	0.25
artmaktadır.	19737	16241	3	3	0.25
artış	19737	16241	3	3	0.25
yapmak	19737	16241	3	3	0.25
Stresten	19737	16241	3	3	0.25
Uzak	19737	16241	3	3	0.25
Günü	19737	16241	3	3	0.25
Ailenizde	19737	16241	3	3	0.25
kardiyak	19737	16241	3	3	0.25
Peki	19737	16241	3	3	0.25
ailede	19737	16241	3	3	0.25
Çarpıntı	19737	16241	3	3	0.25
içecekler	19737	16241	3	3	0.25
tüketiminin	19737	16241	3	3	0.25
ritmi	19737	16241	3	3	0.25
geçirilmiş	19737	16241	3	3	0.25
fonksiyon	19737	16241	3	3	0.25
ritmini	19737	16241	3	3	0.25
parametreleri	19737	16241	3	3	0.25
fonksiyonlarında	19737	16241	3	3	0.25
Yine	19737	16241	3	3	0.25
azaldığı	19737	16241	3	3	0.25
gösterilmiştir.	19737	16241	3	3	0.25
veri	19737	16241	3	3	0.25
uyardı:	19737	16241	3	3	0.25
etkilerini	19737	16241	3	3	0.25
Üniversitesi	19737	16241	3	3	0.25
maalesef	19737	16241	3	3	0.25
bile	19737	16241	3	3	0.25
Etiketler:	19737	16241	3	3	0.25
300	19737	16241	3	3	0.25
Çil,	19737	16241	3	3	0.25
aldığını	19737	16241	3	3	0.25
derecede	19737	16241	3	3	0.25
uyku,	19737	16241	3	3	0.25
112’yi	19737	16241	3	3	0.25
sıkıştırıcı	19737	16241	3	3	0.25
belirtilerini	19737	16241	3	3	0.25
mümkün.	19737	16241	3	3	0.25
pandemisi	19737	16241	3	3	0.25
sayıda	19737	16241	3	3	0.25
önceki	19737	16241	3	3	0.25
kıyasla	19737	16241	3	3	0.25
12	19737	16241	3	3	0.25
başlayan	19737	16241	3	3	0.25
Ani	19737	16241	3	3	0.25
verilmektedir.	19737	16241	3	3	0.25
göz	19737	16241	3	3	0.25
ömür	19737	16241	3	3	0.25
hasarı	19737	16241	3	3	0.25
social	19737	16241	3	3	0.25
media	19737	16241	3	3	0.25
simgeler,	19737	16241	3	3	0.25
dolgu	19737	16241	3	3	0.25
el-çizilmiş	19737	16241	3	3	0.25
Vektör	19737	16241	3	3	0.25
grafik	19737	16241	3	3	0.25
holding	19737	16241	3	3	0.25
simgeleri	19737	16241	3	3	0.25
stil	19737	16241	3	3	0.25
kalın	19737	16241	3	3	0.25
kontur.	19737	16241	3	3	0.25
yalıtılmış	19737	16241	3	3	0.25
sağlam	19737	16241	3	3	0.25
tutan.	19737	16241	3	3	0.25
damarlarının	19737	16241	3	3	0.25
bulunmaktadır.	19737	16241	3	3	0.25
artan	19737	16241	3	3	0.25
yılında	19737	16241	3	3	0.25
olabilecek	19737	16241	3	3	0.25
deyişle	19737	16241	3	3	0.25
çekiyor.	19737	16241	3	3	0.25
21	19737	16241	3	3	0.25
görmesi	19737	16241	3	3	0.25
arttığını	19737	16241	3	3	0.25
tıkanıklık	19737	16241	3	3	0.25
olabilen	19737	16241	3	3	0.25
Baş	19737	16241	3	3	0.25
gelişir.	19737	16241	3	3	0.25
Hızlı	19737	16241	3	3	0.25
11.	19737	16241	3	3	0.25
yatkınlık	19737	16241	3	3	0.25
klasik	19737	16241	3	3	0.25
STEMI,	19737	16241	3	3	0.25
NSTEMI	19737	16241	3	3	0.25
yükselme	19737	16241	3	3	0.25
içmek	19737	16241	3	3	0.25
oranı	19737	16241	3	3	0.25
damarlarındaki	19737	16241	3	3	0.25
bulunması	19737	16241	3	3	0.25
başta	19737	16241	3	3	0.25
olabileceğine	19737	16241	3	3	0.25
oynar.	19737	16241	3	3	0.25
seçenekleri	19737	16241	3	3	0.25
önce	19737	16241	3	3	0.25
konulur?	19737	16241	3	3	0.25
Çeşitli	19737	16241	3	3	0.25
yaşamı	19737	16241	3	3	0.25
adlandırılır.	19737	16241	3	3	0.25
Ailesinde	19737	16241	3	3	0.25
Doğumsal	19737	16241	3	3	0.25
görülür	19737	16241	3	3	0.25
semptomlar	19737	16241	3	3	0.25
semptomlarla	19737	16241	3	3	0.25
muayene	19737	16241	3	3	0.25
hekim	19737	16241	3	3	0.25
ameliyatı,	19737	16241	3	3	0.25
başlıca	19737	16241	3	3	0.25
olmasına	19737	16241	3	3	0.25
krizleri	19737	16241	3	3	0.25
"Seçim	19737	16241	3	3	0.25
maratonunda	19737	16241	3	3	0.25
artıyor"	19737	16241	3	3	0.25
Uzmanı	19737	16241	3	3	0.25
yada	19737	16241	3	3	0.25
tansiyonun	19737	16241	3	3	0.25
hormonal	19737	16241	3	3	0.25
iltihabı	19737	16241	3	3	0.25
pilleri	19737	16241	3	3	0.25
doktora	19737	16241	3	3	0.25
oluşabilir.	19737	16241	3	3	0.25
yaşta	19737	16241	3	3	0.25
geçer.	19737	16241	3	3	0.25
nedenler	19737	16241	3	3	0.25
şiiri	19737	16241	3	3	0.25
hastalarına	19737	16241	3	3	0.25
programı	19737	16241	3	3	0.25
Kalıcı	19737	16241	3	3	0.25
Destek	19737	16241	3	3	0.25
sağlığınıza	19737	16241	3	3	0.25
olduğunda,	19737	16241	3	3	0.25
artıyor.	19737	16241	3	3	0.25
şöyle	19737	16241	3	3	0.25
kaynaklanabilir.	19737	16241	3	3	0.25
ilaçları	19737	16241	3	3	0.25
7.	19737	16241	3	3	0.25
sorunun	19737	16241	3	3	0.25
belirli	19737	16241	3	3	0.25
ailesinde	19737	16241	3	3	0.25
Yaş:	19737	16241	3	3	0.25
ilerledikçe	19737	16241	3	3	0.25
Tüketimini	19737	16241	3	3	0.25
Edin:	19737	16241	3	3	0.25
durumuna	19737	16241	3	3	0.25
sigarayı	19737	16241	3	3	0.25
Çoğu	19737	16241	3	3	0.25
sırasında,	19737	16241	3	3	0.25
anormallikler	19737	16241	3	3	0.25
kişiler,	19737	16241	3	3	0.25
yönetimi	19737	16241	3	3	0.25
durmak,	19737	16241	3	3	0.25
değişebilir.	19737	16241	3	3	0.25
gerektirir.	19737	16241	3	3	0.25
yıllar	19737	16241	3	3	0.25
nakline	19737	16241	3	3	0.25
bekleyen	19737	16241	3	3	0.25
listesine	19737	16241	3	3	0.25
hastalar	19737	16241	3	3	0.25
tablodur.	19737	16241	3	3	0.25
gevşeme	19737	16241	3	3	0.25
Sözkonusu	19737	16241	3	3	0.25
pompalamak	19737	16241	3	3	0.25
yakınma	19737	16241	3	3	0.25
yetersizlikli	19737	16241	3	3	0.25
tablosunun	19737	16241	3	3	0.25
etmesi,	19737	16241	3	3	0.25
aylar	19737	16241	3	3	0.25
transplantasyonu	19737	16241	3	3	0.25
duyulan	19737	16241	3	3	0.25
emojisinin	19737	16241	3	3	0.25
duyguları	19737	16241	3	3	0.25
Mavi	19737	16241	3	3	0.25
demek	19737	16241	3	3	0.25
Siyah	19737	16241	3	3	0.25
anlama	19737	16241	3	3	0.25
Mor	19737	16241	3	3	0.25
Turuncu	19737	16241	3	3	0.25
Yeşil	19737	16241	3	3	0.25
görmesine	19737	16241	3	3	0.25
Nedenleri	19737	16241	2	2	0.17
sendromu,	19737	16241	2	2	0.17
stresin	19737	16241	2	2	0.17
Belirtiler	19737	16241	2	2	0.17
destekleyici	19737	16241	2	2	0.17
da,	19737	16241	2	2	0.17
değişiklikler,	19737	16241	2	2	0.17
araştırma	19737	16241	2	2	0.17
durumdur	19737	16241	2	2	0.17
odaklanan	19737	16241	2	2	0.17
program	19737	16241	2	2	0.17
sonuçları?	19737	16241	2	2	0.17
Yüzde	19737	16241	2	2	0.17
güvenilir	19737	16241	2	2	0.17
mi	19737	16241	2	2	0.17
veriyor?	19737	16241	2	2	0.17
Programda	19737	16241	2	2	0.17
kullanılıyor?	19737	16241	2	2	0.17
skor	19737	16241	2	2	0.17
Neden	19737	16241	2	2	0.17
yapılmalı?	19737	16241	2	2	0.17
verilerine	19737	16241	2	2	0.17
yaşanıyor.	19737	16241	2	2	0.17
bünyesinde	19737	16241	2	2	0.17
saptayarak	19737	16241	2	2	0.17
edilip,	19737	16241	2	2	0.17
düzeltilebilirse,	19737	16241	2	2	0.17
ölümlerini	19737	16241	2	2	0.17
belirleme	19737	16241	2	2	0.17
almış	19737	16241	2	2	0.17
yaratan	19737	16241	2	2	0.17
önlem	19737	16241	2	2	0.17
skoru	19737	16241	2	2	0.17
(damar	19737	16241	2	2	0.17
fazladır.	19737	16241	2	2	0.17
oldukları	19737	16241	2	2	0.17
tedbirlerin	19737	16241	2	2	0.17
alınarak	19737	16241	2	2	0.17
yöntemiyle	19737	16241	2	2	0.17
tesbit	19737	16241	2	2	0.17
sahiptir.	19737	16241	2	2	0.17
bulguları	19737	16241	2	2	0.17
ışığında	19737	16241	2	2	0.17
yaşamını	19737	16241	2	2	0.17
yarattığı	19737	16241	2	2	0.17
önlenmesi	19737	16241	2	2	0.17
taşımaktadır.	19737	16241	2	2	0.17
açar.	19737	16241	2	2	0.17
kireç	19737	16241	2	2	0.17
başlar.	19737	16241	2	2	0.17
